run_id,floor,monster_position,monster_id,monster_name,floor_type,encounter
1781853392,2,1,MONSTER.SHRINKER_BEETLE,Shrinker Beetle,monster,ENCOUNTER.SHRINKER_BEETLE_WEAK
1781853392,4,1,MONSTER.FUZZY_WURM_CRAWLER,Fuzzy Wurm Crawler,monster,ENCOUNTER.FUZZY_WURM_CRAWLER_WEAK
1781853392,5,1,MONSTER.NIBBIT,Nibbit,monster,ENCOUNTER.NIBBITS_WEAK
1781853392,8,1,MONSTER.BYRDONIS,Byrdonis,elite,ENCOUNTER.BYRDONIS_ELITE
1781853392,11,1,MONSTER.TWIG_SLIME_M,Twig Slime M,monster,ENCOUNTER.FLYCONID_NORMAL
1781853392,11,2,MONSTER.FLYCONID,Flyconid,monster,ENCOUNTER.FLYCONID_NORMAL
1781853392,12,1,MONSTER.CUBEX_CONSTRUCT,Cubex Construct,monster,ENCOUNTER.CUBEX_CONSTRUCT_NORMAL
1781853392,14,1,MONSTER.SNAPPING_JAXFRUIT,Snapping Jaxfruit,unknown,ENCOUNTER.SNAPPING_JAXFRUIT_NORMAL
1781853392,14,2,MONSTER.FLYCONID,Flyconid,unknown,ENCOUNTER.SNAPPING_JAXFRUIT_NORMAL
1781853392,17,1,MONSTER.CEREMONIAL_BEAST,Ceremonial Beast,boss,ENCOUNTER.CEREMONIAL_BEAST_BOSS
1781853392,19,1,MONSTER.EXOSKELETON,Exoskeleton,monster,ENCOUNTER.EXOSKELETONS_WEAK
1781853392,19,2,MONSTER.EXOSKELETON,Exoskeleton,monster,ENCOUNTER.EXOSKELETONS_WEAK
1781853392,19,3,MONSTER.EXOSKELETON,Exoskeleton,monster,ENCOUNTER.EXOSKELETONS_WEAK
1781853392,20,1,MONSTER.BOWLBUG_ROCK,Bowlbug Rock,monster,ENCOUNTER.BOWLBUGS_WEAK
1781853392,20,2,MONSTER.BOWLBUG_EGG,Bowlbug Egg,monster,ENCOUNTER.BOWLBUGS_WEAK
1781853392,22,1,MONSTER.HUNTER_KILLER,Hunter Killer,monster,ENCOUNTER.HUNTER_KILLER_NORMAL
