run_id,floor,offer_position,card_id,card_name,picked,picked_card_id,picked_card_name,floor_type,encounter
1781853392,2,1,CARD.ASTRAL_PULSE,Astral Pulse,True,CARD.ASTRAL_PULSE,Astral Pulse,monster,ENCOUNTER.SHRINKER_BEETLE_WEAK
1781853392,2,2,CARD.REFINE_BLADE,Refine Blade,False,CARD.ASTRAL_PULSE,Astral Pulse,monster,ENCOUNTER.SHRINKER_BEETLE_WEAK
1781853392,2,3,CARD.MONOLOGUE,Monologue,False,CARD.ASTRAL_PULSE,Astral Pulse,monster,ENCOUNTER.SHRINKER_BEETLE_WEAK
1781853392,4,1,CARD.GUIDING_STAR,Guiding Star,True,CARD.GUIDING_STAR,Guiding Star,monster,ENCOUNTER.FUZZY_WURM_CRAWLER_WEAK
1781853392,4,2,CARD.KINGLY_PUNCH,Kingly Punch,False,CARD.GUIDING_STAR,Guiding Star,monster,ENCOUNTER.FUZZY_WURM_CRAWLER_WEAK
1781853392,4,3,CARD.WROUGHT_IN_WAR,Wrought In War,False,CARD.GUIDING_STAR,Guiding Star,monster,ENCOUNTER.FUZZY_WURM_CRAWLER_WEAK
1781853392,5,1,CARD.GATHER_LIGHT,Gather Light,True,CARD.GATHER_LIGHT,Gather Light,monster,ENCOUNTER.NIBBITS_WEAK
1781853392,5,2,CARD.TERRAFORMING,Terraforming,False,CARD.GATHER_LIGHT,Gather Light,monster,ENCOUNTER.NIBBITS_WEAK
1781853392,5,3,CARD.PATTER,Patter,False,CARD.GATHER_LIGHT,Gather Light,monster,ENCOUNTER.NIBBITS_WEAK
1781853392,8,1,CARD.KNOW_THY_PLACE,Know Thy Place,True,CARD.KNOW_THY_PLACE,Know Thy Place,elite,ENCOUNTER.BYRDONIS_ELITE
1781853392,8,2,CARD.RESONANCE,Resonance,False,CARD.KNOW_THY_PLACE,Know Thy Place,elite,ENCOUNTER.BYRDONIS_ELITE
1781853392,8,3,CARD.COLLISION_COURSE,Collision Course,False,CARD.KNOW_THY_PLACE,Know Thy Place,elite,ENCOUNTER.BYRDONIS_ELITE
1781853392,11,1,CARD.DYING_STAR,Dying Star,True,CARD.DYING_STAR,Dying Star,monster,ENCOUNTER.FLYCONID_NORMAL
1781853392,11,2,CARD.REFINE_BLADE,Refine Blade,False,CARD.DYING_STAR,Dying Star,monster,ENCOUNTER.FLYCONID_NORMAL
1781853392,11,3,CARD.CHILD_OF_THE_STARS,Child Of The Stars,False,CARD.DYING_STAR,Dying Star,monster,ENCOUNTER.FLYCONID_NORMAL
1781853392,12,1,CARD.PHOTON_CUT,Photon Cut,True,CARD.PHOTON_CUT,Photon Cut,monster,ENCOUNTER.CUBEX_CONSTRUCT_NORMAL
1781853392,12,2,CARD.ASTRAL_PULSE,Astral Pulse,False,CARD.PHOTON_CUT,Photon Cut,monster,ENCOUNTER.CUBEX_CONSTRUCT_NORMAL
1781853392,12,3,CARD.WROUGHT_IN_WAR,Wrought In War,False,CARD.PHOTON_CUT,Photon Cut,monster,ENCOUNTER.CUBEX_CONSTRUCT_NORMAL
1781853392,14,1,CARD.SPOILS_OF_BATTLE,Spoils Of Battle,True,CARD.SPOILS_OF_BATTLE,Spoils Of Battle,unknown,ENCOUNTER.SNAPPING_JAXFRUIT_NORMAL
1781853392,14,2,CARD.ASTRAL_PULSE,Astral Pulse,False,CARD.SPOILS_OF_BATTLE,Spoils Of Battle,unknown,ENCOUNTER.SNAPPING_JAXFRUIT_NORMAL
1781853392,14,3,CARD.SUMMON_FORTH,Summon Forth,False,CARD.SPOILS_OF_BATTLE,Spoils Of Battle,unknown,ENCOUNTER.SNAPPING_JAXFRUIT_NORMAL
1781853392,15,1,CARD.KINGLY_KICK,Kingly Kick,False,,,shop,
1781853392,15,2,CARD.CELESTIAL_MIGHT,Celestial Might,False,,,shop,
1781853392,15,3,CARD.MANIFEST_AUTHORITY,Manifest Authority,False,,,shop,
1781853392,15,4,CARD.PALE_BLUE_DOT,Pale Blue Dot,False,,,shop,
1781853392,15,5,CARD.JACK_OF_ALL_TRADES,Jack Of All Trades,False,,,shop,
1781853392,15,6,CARD.SCRAWL,Scrawl,False,,,shop,
1781853392,17,1,CARD.SWORD_SAGE,Sword Sage,True,CARD.SWORD_SAGE,Sword Sage,boss,ENCOUNTER.CEREMONIAL_BEAST_BOSS
1781853392,17,2,CARD.BIG_BANG,Big Bang,False,CARD.SWORD_SAGE,Sword Sage,boss,ENCOUNTER.CEREMONIAL_BEAST_BOSS
1781853392,17,3,CARD.TYRANNY,Tyranny,False,CARD.SWORD_SAGE,Sword Sage,boss,ENCOUNTER.CEREMONIAL_BEAST_BOSS
1781853392,19,1,CARD.PARRY,Parry,True,CARD.PARRY,Parry,monster,ENCOUNTER.EXOSKELETONS_WEAK
1781853392,19,2,CARD.KNOW_THY_PLACE,Know Thy Place,False,CARD.PARRY,Parry,monster,ENCOUNTER.EXOSKELETONS_WEAK
1781853392,19,3,CARD.REFLECT,Reflect,False,CARD.PARRY,Parry,monster,ENCOUNTER.EXOSKELETONS_WEAK
1781853392,20,1,CARD.BEGONE,Begone,True,CARD.BEGONE,Begone,monster,ENCOUNTER.BOWLBUGS_WEAK
1781853392,20,2,CARD.SPECTRUM_SHIFT,Spectrum Shift,False,CARD.BEGONE,Begone,monster,ENCOUNTER.BOWLBUGS_WEAK
1781853392,20,3,CARD.CHARGE,Charge,False,CARD.BEGONE,Begone,monster,ENCOUNTER.BOWLBUGS_WEAK
1781853392,22,1,CARD.KNOW_THY_PLACE,Know Thy Place,True,CARD.KNOW_THY_PLACE,Know Thy Place,monster,ENCOUNTER.HUNTER_KILLER_NORMAL
1781853392,22,2,CARD.BLACK_HOLE,Black Hole,False,CARD.KNOW_THY_PLACE,Know Thy Place,monster,ENCOUNTER.HUNTER_KILLER_NORMAL
1781853392,22,3,CARD.PHOTON_CUT,Photon Cut,False,CARD.KNOW_THY_PLACE,Know Thy Place,monster,ENCOUNTER.HUNTER_KILLER_NORMAL
1781853392,23,1,CARD.SPOILS_OF_BATTLE,Spoils Of Battle,True,CARD.SPOILS_OF_BATTLE,Spoils Of Battle,monster,ENCOUNTER.SLUMBERING_BEETLE_NORMAL
1781853392,23,2,CARD.CELESTIAL_MIGHT,Celestial Might,False,CARD.SPOILS_OF_BATTLE,Spoils Of Battle,monster,ENCOUNTER.SLUMBERING_BEETLE_NORMAL
1781853392,23,3,CARD.ASTRAL_PULSE,Astral Pulse,False,CARD.SPOILS_OF_BATTLE,Spoils Of Battle,monster,ENCOUNTER.SLUMBERING_BEETLE_NORMAL
1781853392,24,1,CARD.CLOAK_OF_STARS,Cloak Of Stars,True,CARD.CLOAK_OF_STARS,Cloak Of Stars,monster,ENCOUNTER.LOUSE_PROGENITOR_NORMAL
1781853392,24,2,CARD.RESONANCE,Resonance,False,CARD.CLOAK_OF_STARS,Cloak Of Stars,monster,ENCOUNTER.LOUSE_PROGENITOR_NORMAL
1781853392,24,3,CARD.REFINE_BLADE,Refine Blade,False,CARD.CLOAK_OF_STARS,Cloak Of Stars,monster,ENCOUNTER.LOUSE_PROGENITOR_NORMAL
1781853392,28,1,CARD.COMET,Comet,True,CARD.COMET,Comet,elite,ENCOUNTER.ENTOMANCER_ELITE
1781853392,28,2,CARD.KNOCKOUT_BLOW,Knockout Blow,False,CARD.COMET,Comet,elite,ENCOUNTER.ENTOMANCER_ELITE
1781853392,28,3,CARD.PILLAR_OF_CREATION,Pillar Of Creation,False,CARD.COMET,Comet,elite,ENCOUNTER.ENTOMANCER_ELITE
1781853392,29,1,CARD.DEVASTATE,Devastate,False,,,shop,
1781853392,29,2,CARD.GUIDING_STAR,Guiding Star,False,,,shop,
1781853392,29,3,CARD.CHARGE,Charge,False,,,shop,
1781853392,29,4,CARD.PROLONG,Prolong,False,,,shop,
1781853392,29,5,CARD.BEAT_DOWN,Beat Down,False,,,shop,
1781853392,30,1,CARD.GLITTERSTREAM,Glitterstream,True,CARD.GLITTERSTREAM,Glitterstream,monster,ENCOUNTER.MYTES_NORMAL
1781853392,30,2,CARD.RADIATE,Radiate,False,CARD.GLITTERSTREAM,Glitterstream,monster,ENCOUNTER.MYTES_NORMAL
1781853392,30,3,CARD.CELESTIAL_MIGHT,Celestial Might,False,CARD.GLITTERSTREAM,Glitterstream,monster,ENCOUNTER.MYTES_NORMAL
1781853392,31,1,CARD.CLOAK_OF_STARS,Cloak Of Stars,True,CARD.CLOAK_OF_STARS,Cloak Of Stars,elite,ENCOUNTER.DECIMILLIPEDE_ELITE
1781853392,31,2,CARD.PILLAR_OF_CREATION,Pillar Of Creation,False,CARD.CLOAK_OF_STARS,Cloak Of Stars,elite,ENCOUNTER.DECIMILLIPEDE_ELITE
1781853392,31,3,CARD.CRASH_LANDING,Crash Landing,False,CARD.CLOAK_OF_STARS,Cloak Of Stars,elite,ENCOUNTER.DECIMILLIPEDE_ELITE
1781853392,33,1,CARD.DECISIONS_DECISIONS,Decisions Decisions,True,CARD.DECISIONS_DECISIONS,Decisions Decisions,boss,ENCOUNTER.KAISER_CRAB_BOSS
1781853392,33,2,CARD.ARSENAL,Arsenal,False,CARD.DECISIONS_DECISIONS,Decisions Decisions,boss,ENCOUNTER.KAISER_CRAB_BOSS
1781853392,33,3,CARD.MONARCHS_GAZE,Monarchs Gaze,False,CARD.DECISIONS_DECISIONS,Decisions Decisions,boss,ENCOUNTER.KAISER_CRAB_BOSS
1781853392,35,1,CARD.BULWARK,Bulwark,True,CARD.BULWARK,Bulwark,monster,ENCOUNTER.TURRET_OPERATOR_WEAK
1781853392,35,2,CARD.COLLISION_COURSE,Collision Course,False,CARD.BULWARK,Bulwark,monster,ENCOUNTER.TURRET_OPERATOR_WEAK
1781853392,35,3,CARD.CELESTIAL_MIGHT,Celestial Might,False,CARD.BULWARK,Bulwark,monster,ENCOUNTER.TURRET_OPERATOR_WEAK
1781853392,36,1,CARD.MANIFEST_AUTHORITY,Manifest Authority,True,CARD.MANIFEST_AUTHORITY,Manifest Authority,monster,ENCOUNTER.DEVOTED_SCULPTOR_WEAK
1781853392,36,2,CARD.KNOCKOUT_BLOW,Knockout Blow,False,CARD.MANIFEST_AUTHORITY,Manifest Authority,monster,ENCOUNTER.DEVOTED_SCULPTOR_WEAK
1781853392,36,3,CARD.BEGONE,Begone,False,CARD.MANIFEST_AUTHORITY,Manifest Authority,monster,ENCOUNTER.DEVOTED_SCULPTOR_WEAK
1781853392,37,1,CARD.SOLAR_STRIKE,Solar Strike,True,CARD.SOLAR_STRIKE,Solar Strike,monster,ENCOUNTER.OWL_MAGISTRATE_NORMAL
1781853392,37,2,CARD.GLOW,Glow,False,CARD.SOLAR_STRIKE,Solar Strike,monster,ENCOUNTER.OWL_MAGISTRATE_NORMAL
1781853392,37,3,CARD.RESONANCE,Resonance,False,CARD.SOLAR_STRIKE,Solar Strike,monster,ENCOUNTER.OWL_MAGISTRATE_NORMAL
1781853392,38,1,CARD.SHINING_STRIKE,Shining Strike,True,CARD.SHINING_STRIKE,Shining Strike,monster,ENCOUNTER.GLOBE_HEAD_NORMAL
